id,path,S,M,I
176,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190261.jpg,1.0,1.0,1.0
177,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190316.jpg,1.0,1.0,1.0
178,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190324.jpg,1.0,1.0,1.0
179,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190380.jpg,1.0,1.0,1.0
180,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190399.jpg,1.0,1.0,1.0
181,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190404.jpg,1.0,1.0,1.0
182,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190547.jpg,1.0,1.0,1.0
183,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190647.jpg,1.0,1.0,1.0
184,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190706.jpg,1.0,1.0,1.0
185,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190714.jpg,1.0,1.0,1.0
186,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190733.jpg,1.0,1.0,1.0
187,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190757.jpg,1.0,1.0,1.0
188,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190788.jpg,1.0,1.0,1.0
189,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190815.jpg,1.0,1.0,1.0
190,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190820.jpg,1.0,1.0,1.0
191,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190827.jpg,1.0,1.0,1.0
192,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190863.jpg,1.0,1.0,1.0
193,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190868.jpg,1.0,1.0,1.0
194,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/190970.jpg,1.0,1.0,1.0
195,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/191052.jpg,1.0,1.0,1.0
196,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/191056.jpg,1.0,1.0,1.0
197,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/191901.jpg,1.0,1.0,1.0
198,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/192172.jpg,1.0,1.0,1.0
199,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/images/7953.jpg,1.0,1.0,1.0
