source,target,sim
23,104,0.7698055505752563
23,105,0.8041549324989319
23,127,0.82039475440979
23,129,0.8142057061195374
24,29,0.7884110808372498
24,32,0.8077905774116516
24,35,0.778312087059021
24,40,0.8035485744476318
24,54,0.8175346851348877
24,97,0.8004378080368042
24,105,0.8216333985328674
24,107,0.7870455384254456
24,129,0.8220657706260681
24,140,0.832442045211792
25,26,0.7842939496040344
25,39,0.7289896011352539
25,48,0.753040075302124
25,101,0.7293752431869507
25,102,0.7413115501403809
25,103,0.7361271381378174
25,107,0.7471888661384583
25,129,0.7439318895339966
25,162,0.7291412949562073
25,180,0.7350209951400757
25,181,0.7570760846138
25,185,0.7493360042572021
25,195,0.7485898733139038
26,33,0.8065871000289917
26,72,0.788803219795227
26,101,0.8426084518432617
26,136,0.7393747568130493
26,151,0.8151712417602539
26,153,0.8075005412101746
26,156,0.8017246127128601
26,162,0.8136997222900391
26,164,0.8556507229804993
26,167,0.7960132956504822
26,172,0.7836537957191467
26,179,0.727269172668457
26,184,0.8499314785003662
26,191,0.7732616662979126
26,195,0.7897410988807678
26,196,0.8150120973587036
26,199,0.7499206066131592
27,33,0.7417577505111694
27,47,0.739476203918457
27,48,0.8168769478797913
27,85,0.7395970821380615
27,88,0.7554731369018555
27,145,0.7481699585914612
27,156,0.7648135423660278
27,157,0.6659358739852905
27,167,0.7388678789138794
27,168,0.7591426372528076
27,188,0.7360478639602661
27,197,0.7523137927055359
28,33,0.6966809034347534
28,38,0.7165184020996094
28,84,0.6925173997879028
28,86,0.6909120082855225
28,125,0.737342357635498
28,134,0.7055256366729736
28,141,0.7028758525848389
28,148,0.7346627712249756
28,170,0.7278965711593628
28,171,0.7006747722625732
28,173,0.6934489011764526
28,183,0.7124142646789551
28,192,0.696837306022644
28,193,0.7563849687576294
29,31,0.7608357667922974
29,38,0.8128817081451416
29,44,0.8408516049385071
29,54,0.8038266897201538
29,58,0.8214859962463379
29,62,0.7911807298660278
29,71,0.7942476868629456
29,86,0.7716017961502075
29,121,0.7275090217590332
29,125,0.7173435688018799
29,140,0.8603138327598572
29,141,0.7733713388442993
29,148,0.747775673866272
29,155,0.8141170740127563
29,170,0.7047244310379028
29,171,0.7994831204414368
29,173,0.7557602524757385
29,179,0.7199389934539795
30,31,0.8104967474937439
30,38,0.8023873567581177
30,45,0.8203966021537781
30,50,0.7866385579109192
30,51,0.7339696884155273
30,69,0.7738615274429321
30,71,0.778321385383606
30,77,0.7695708274841309
30,78,0.7968842387199402
30,79,0.8260712027549744
30,84,0.7486794590950012
30,91,0.7566860318183899
30,117,0.7763192653656006
30,134,0.7612061500549316
30,148,0.7658531665802002
30,159,0.7879925966262817
30,170,0.7283715009689331
30,173,0.7419788241386414
30,178,0.769869863986969
30,179,0.7504749894142151
30,186,0.7601072192192078
30,192,0.7981747984886169
30,198,0.7277359962463379
31,38,0.8060198426246643
31,45,0.8347367644309998
31,49,0.7769621014595032
31,50,0.7526748180389404
31,71,0.7537454962730408
31,78,0.7806429862976074
31,86,0.7454788684844971
31,90,0.746408224105835
31,91,0.7525824308395386
31,99,0.7525230050086975
31,134,0.7518097162246704
31,141,0.7802739143371582
31,148,0.7541728615760803
31,170,0.7070870399475098
31,173,0.7566860914230347
31,179,0.7590773105621338
31,192,0.7500988245010376
32,40,0.8223128318786621
32,41,0.8086472153663635
32,42,0.8150951266288757
32,44,0.8208335041999817
32,52,0.8168047070503235
32,54,0.8148847818374634
32,62,0.7587133049964905
32,64,0.8123923540115356
32,71,0.8200971484184265
32,76,0.8196064829826355
32,81,0.8388729095458984
32,98,0.6858268976211548
32,140,0.8178019523620605
32,178,0.8402206897735596
33,34,0.7638222575187683
33,39,0.7878692150115967
33,58,0.7818573713302612
33,62,0.7720717787742615
33,68,0.67193603515625
33,72,0.8030193448066711
33,97,0.7889584302902222
33,125,0.7407180070877075
33,136,0.7501976490020752
33,139,0.7907022833824158
33,140,0.7918299436569214
